,Strain,Type,Effects,Flavor,Description,name,ailment,all_text,lemmas
1107,Jet-Fuel,hybrid,"Happy,Uplifted,Relaxed,Euphoric,Focused","Diesel,Pungent,Earthy","Jet Fuel, also known as G6, from 303 Seeds is the ultimate cross of some of the most renowned Diesel strains. By combining Aspen OG with High Country Diesel, we are left with a sativa-driven hybrid that stays true to the influence of SFV OG Kush and East Coast Sour Diesel in its lineage. The name Jet Fuel isn’t purely devoted to the sweet, pungent aroma of diesel fumes that this strain exudes, but also the high-energy jolt of uplifting sativa effects that eventually level off to provide a dream-like state of relaxation.",,,"Jet-Fuel hybrid Happy,Uplifted,Relaxed,Euphoric,Focused Diesel,Pungent,Earthy Jet Fuel, also known as G6, from 303 Seeds is the ultimate cross of some of the most renowned Diesel strains. By combining Aspen OG with High Country Diesel, we are left with a sativa-driven hybrid that stays true to the influence of SFV OG Kush and East Coast Sour Diesel in its lineage. The name Jet Fuel isn’t purely devoted to the sweet, pungent aroma of diesel fumes that this strain exudes, but also the high-energy jolt of uplifting sativa effects that eventually level off to provide a dream-like state of relaxation.  ",jet fuel hybrid Happy Uplifted Relaxed Euphoric Focused Diesel Pungent Earthy Jet Fuel know G6 303 Seeds ultimate cross renowned Diesel strain combine Aspen OG High Country Diesel leave sativa drive hybrid stay true influence SFV OG Kush East Coast Sour Diesel lineage Jet Fuel not purely devoted sweet pungent aroma diesel fume strain exude high energy jolt uplifting sativa effect eventually level provide dream like state relaxation  
1108,Jilly-Dawg,hybrid,"Uplifted,Euphoric,Giggly,Happy","Citrus,Mango,Pungent","Jilly Dawg is a sativa-dominant hybrid created by Adam Dunn. It’s a genetic cross of the tropical Jillybean and the potent Chemdawg 91. This pairing defines Jilly Dawg’s unique smell, emanating notes of mango, orange, pine, and diesel. Jilly Dawg’s sativa-driven effects make it a perfect strain for creative and social consumers looking to spur good conversation and heady thoughts. ",,,"Jilly-Dawg hybrid Uplifted,Euphoric,Giggly,Happy Citrus,Mango,Pungent Jilly Dawg is a sativa-dominant hybrid created by Adam Dunn. It’s a genetic cross of the tropical Jillybean and the potent Chemdawg 91. This pairing defines Jilly Dawg’s unique smell, emanating notes of mango, orange, pine, and diesel. Jilly Dawg’s sativa-driven effects make it a perfect strain for creative and social consumers looking to spur good conversation and heady thoughts.   ",Jilly Dawg hybrid Uplifted euphoric giggly Happy Citrus Mango Pungent Jilly Dawg sativa dominant hybrid create Adam Dunn ’ genetic cross tropical Jillybean potent Chemdawg 91 pairing define Jilly Dawg ’s unique smell emanate note mango orange pine diesel jilly Dawg ’s sativa drive effect perfect strain creative social consumer look spur good conversation heady thought    
1109,Jillybean,hybrid,"Happy,Uplifted,Euphoric,Relaxed,Creative","Sweet,Citrus,Orange","Jillybean is described as being an upbeat and happy hybrid, with flavors of tangy orange and mango. This strain is a top choice for creative minds and social butterflies looking for unencumbered euphoria during daytime hours. Bred by crossing Orange Velvet and Space Queen, Jillybean often expresses herself in deep hues of maroon on the leaves. ",,,"Jillybean hybrid Happy,Uplifted,Euphoric,Relaxed,Creative Sweet,Citrus,Orange Jillybean is described as being an upbeat and happy hybrid, with flavors of tangy orange and mango. This strain is a top choice for creative minds and social butterflies looking for unencumbered euphoria during daytime hours. Bred by crossing Orange Velvet and Space Queen, Jillybean often expresses herself in deep hues of maroon on the leaves.   ",jillybean hybrid Happy Uplifted Euphoric relaxed Creative Sweet Citrus Orange Jillybean describe upbeat happy hybrid flavor tangy orange mango strain choice creative mind social butterfly look unencumbered euphoria daytime hour breed cross Orange Velvet Space Queen Jillybean express deep hue maroon leave    
1110,Jimi-Hendrix,hybrid,"Uplifted,Hungry,Creative,Euphoric,Happy","Citrus,Sweet,Earthy","There are many genetic combinations that fall under the name Jimi Hendrix, but this southern Oregon hybrid descends from Jack Herer, Headband, and Black Cherry Soda. Led by its sativa genetics, Jimi Hendrix delivers a cerebrally focused jolt of euphoric energy that helps feed creativity and focus in low doses. In a show of its diverse terpene profile, Jimi Hendrix has a complex aroma that spans flavors from earthy pine to sweet lemon and citrus. ",,,"Jimi-Hendrix hybrid Uplifted,Hungry,Creative,Euphoric,Happy Citrus,Sweet,Earthy There are many genetic combinations that fall under the name Jimi Hendrix, but this southern Oregon hybrid descends from Jack Herer, Headband, and Black Cherry Soda. Led by its sativa genetics, Jimi Hendrix delivers a cerebrally focused jolt of euphoric energy that helps feed creativity and focus in low doses. In a show of its diverse terpene profile, Jimi Hendrix has a complex aroma that spans flavors from earthy pine to sweet lemon and citrus.   ",Jimi Hendrix hybrid Uplifted hungry creative Euphoric Happy Citrus Sweet Earthy genetic combination fall Jimi Hendrix southern Oregon hybrid descend Jack Herer headband Black Cherry Soda lead sativa genetic Jimi Hendrix deliver cerebrally focused jolt euphoric energy help feed creativity focus low dose diverse terpene profile Jimi Hendrix complex aroma span flavor earthy pine sweet lemon citrus    
1111,Jock-Horror,sativa,"Euphoric,Happy,Hungry,Energetic,Creative","Sweet,Berry,Earthy","Jock Horror is sativa-dominant hybrid parented by Northern Lights and two other strains of the Skunk and Haze families. These resinous buds offer a fresh, unique aroma with uplifting effects. Best produced indoors, growers can expect these tall plants to flower between 9 and 11 weeks.",,,"Jock-Horror sativa Euphoric,Happy,Hungry,Energetic,Creative Sweet,Berry,Earthy Jock Horror is sativa-dominant hybrid parented by Northern Lights and two other strains of the Skunk and Haze families. These resinous buds offer a fresh, unique aroma with uplifting effects. Best produced indoors, growers can expect these tall plants to flower between 9 and 11 weeks.  ",jock Horror sativa Euphoric happy hungry energetic Creative Sweet Berry Earthy Jock Horror sativa dominant hybrid    parent    Northern Lights    strain Skunk Haze family resinous bud offer fresh unique aroma uplifting effect best produce indoor grower expect tall plant flower    9 11 week  
1112,Johnnys-Tonic,sativa,"Happy,Giggly,Relaxed,Focused,Talkative","Flowery,Earthy,Skunk",Johnny’s Tonic is a sativa-dominant California strain bred by Elemental Seeds. It took home a 2014 Cannabis Cup award for its high CBD content inherited from Cannatonic.,,,"Johnnys-Tonic sativa Happy,Giggly,Relaxed,Focused,Talkative Flowery,Earthy,Skunk Johnny’s Tonic is a sativa-dominant California strain bred by Elemental Seeds. It took home a 2014 Cannabis Cup award for its high CBD content inherited from Cannatonic.  ",Johnnys Tonic sativa Happy giggly relaxed Focused Talkative Flowery Earthy Skunk Johnny ’s Tonic sativa dominant California strain breed Elemental Seeds take home 2014 Cannabis Cup award high CBD content inherit Cannatonic  
1113,Joliet-Jake,indica,"Relaxed,Sleepy,Euphoric","Berry,Sweet,Menthol",Joliet Jake by Cresco Labs brings back-to-back Bubba Kush genetics together with potent results. The funky undertones of Pre-98 Bubba Kush are enriched by the floral aromas of Katsu Bubba’s phenotype mother. Its generous trichome density and hues of purple foliage give the strain an appetizing appearance alongside pain mitigating effects that relax the mind and body without being excessively sedative. Enjoy this 90% indica later in the day to maximize this strain’s deep physical relaxation.  ,,,"Joliet-Jake indica Relaxed,Sleepy,Euphoric Berry,Sweet,Menthol Joliet Jake by Cresco Labs brings back-to-back Bubba Kush genetics together with potent results. The funky undertones of Pre-98 Bubba Kush are enriched by the floral aromas of Katsu Bubba’s phenotype mother. Its generous trichome density and hues of purple foliage give the strain an appetizing appearance alongside pain mitigating effects that relax the mind and body without being excessively sedative. Enjoy this 90% indica later in the day to maximize this strain’s deep physical relaxation.    ",Joliet Jake indica Relaxed sleepy Euphoric Berry Sweet Menthol Joliet Jake Cresco Labs bring Bubba Kush genetic potent result funky undertone Pre-98 Bubba Kush enrich floral aroma Katsu Bubba ’s phenotype mother generous trichome density hue purple foliage strain appetizing appearance alongside pain mitigate effect relax mind body excessively sedative enjoy 90 indica later day maximize strain ’s deep physical relaxation    
1114,Jolly-Rancher,hybrid,"Euphoric,Happy,Giggly,Tingly,Creative","Sweet,Pungent,Berry","Not much is known about the California-bred hybrid Jolly Rancher, but this hybrid strain has nevertheless carved a name for itself among West Coast genetics. Its name and initial appeal lies primarily in Jolly Rancher’s sour candied aroma, although there’s also something to be said about its high-flying euphoria and colorful buds. Coated with a sticky blanket of sugar-like resin, Jolly Rancher is a treat for all the senses.",,,"Jolly-Rancher hybrid Euphoric,Happy,Giggly,Tingly,Creative Sweet,Pungent,Berry Not much is known about the California-bred hybrid Jolly Rancher, but this hybrid strain has nevertheless carved a name for itself among West Coast genetics. Its name and initial appeal lies primarily in Jolly Rancher’s sour candied aroma, although there’s also something to be said about its high-flying euphoria and colorful buds. Coated with a sticky blanket of sugar-like resin, Jolly Rancher is a treat for all the senses.  ",Jolly Rancher hybrid Euphoric happy giggly Tingly Creative Sweet Pungent Berry know California breed hybrid Jolly Rancher hybrid strain carve West Coast genetic initial appeal lie primarily Jolly Rancher ’s sour candy aroma ’ say high fly euphoria colorful bud coat sticky blanket sugar like resin Jolly Rancher treat sense  
1115,Josh-D-Og,indica,"Aroused,Tingly,Uplifted,Creative,Euphoric","Berry,Blueberry,Blue,Cheese","Josh D OG by Karma Genetics is a handcrafted OG hybrid with a lineage stretching back to Florida, 1991. Josh D and Matt “Bubba” Berger began developing these genetics in Orlando and helped define the OG culture we know today. This strain is a three deep cross of SFV OG x Triangle Kush x Hell’s Angels OG and offers consumers relaxing effects with an amplified Kush flavor. This indica-dominant hybrid is euphoric and happy while still saddling consumers with potent mid-level sedation.   ",,,"Josh-D-Og indica Aroused,Tingly,Uplifted,Creative,Euphoric Berry,Blueberry,Blue,Cheese Josh D OG by Karma Genetics is a handcrafted OG hybrid with a lineage stretching back to Florida, 1991. Josh D and Matt “Bubba” Berger began developing these genetics in Orlando and helped define the OG culture we know today. This strain is a three deep cross of SFV OG x Triangle Kush x Hell’s Angels OG and offers consumers relaxing effects with an amplified Kush flavor. This indica-dominant hybrid is euphoric and happy while still saddling consumers with potent mid-level sedation.     ",Josh D Og indica Aroused Tingly Uplifted creative Euphoric Berry Blueberry Blue Cheese Josh D og Karma Genetics handcrafted og hybrid lineage stretch Florida 1991 Josh D Matt Bubba Berger begin develop genetic Orlando help define og culture know today strain deep cross SFV OG x Triangle Kush x Hell ’s Angels OG offer consumer relax effect amplified Kush flavor indica dominant hybrid euphoric happy saddle consumer potent mid level sedation     
1116,Jr,indica,"Relaxed,Happy,Euphoric,Hungry,Sleepy","Pungent,Earthy,Sweet","Named after the dark alcoholic beverage from Germany, Jr is an indica-dominant strain with a tinge of black licorice in its aroma. Little is known about its genetics, but rumor has placed Jr somewhere in the Hindu Kush genealogy or a cross of LA Confidential and Blue Dream. Some also suspect it was bred and popularized in Southern Oregon. As stupefying as its name makes it out to be, Jr's full body effects are better described as relaxing than sedating.",Jr,"Pain, Stress, Insomnia, Depression, Nausea","Jr indica Relaxed,Happy,Euphoric,Hungry,Sleepy Pungent,Earthy,Sweet Named after the dark alcoholic beverage from Germany, Jr is an indica-dominant strain with a tinge of black licorice in its aroma. Little is known about its genetics, but rumor has placed Jr somewhere in the Hindu Kush genealogy or a cross of LA Confidential and Blue Dream. Some also suspect it was bred and popularized in Southern Oregon. As stupefying as its name makes it out to be, Jr's full body effects are better described as relaxing than sedating. Jr Pain, Stress, Insomnia, Depression, Nausea",Jr indica Relaxed happy euphoric hungry Sleepy Pungent earthy Sweet Named dark alcoholic beverage Germany Jr    indica dominant strain tinge black licorice aroma little know genetic rumor place Jr    Hindu Kush genealogy cross LA Confidential Blue Dream suspect breed popularize Southern Oregon    stupefying make Jr    body effect better describe relax sedating Jr Pain stress Insomnia Depression nausea
1117,Juicy-Fruit,hybrid,"Happy,Euphoric,Relaxed,Uplifted,Energetic","Citrus,Earthy,Sweet","Also known as Fruity Juice, this cannabis strain was developed by Sensi Seeds. Crossed with pure Afghani indica and pure Thai sativa, Juicy Fruit is a large-leafed, thick-stemmed plant with colors of green and purple. Once broken up, colors of lavender, orange, and amber-purple float throughout the trichome heads and into the stems. Flowering time is approximately 7-9 weeks, with a THC level measuring about 15-20%. Smells are described as ranging from tangy and sweet, sort of like fruit punch and lemons, to a blend of piña colada and plums. The effects begin with a dizzy, light-headed feeling and can last up to 3 hours. ",,,"Juicy-Fruit hybrid Happy,Euphoric,Relaxed,Uplifted,Energetic Citrus,Earthy,Sweet Also known as Fruity Juice, this cannabis strain was developed by Sensi Seeds. Crossed with pure Afghani indica and pure Thai sativa, Juicy Fruit is a large-leafed, thick-stemmed plant with colors of green and purple. Once broken up, colors of lavender, orange, and amber-purple float throughout the trichome heads and into the stems. Flowering time is approximately 7-9 weeks, with a THC level measuring about 15-20%. Smells are described as ranging from tangy and sweet, sort of like fruit punch and lemons, to a blend of piña colada and plums. The effects begin with a dizzy, light-headed feeling and can last up to 3 hours.   ",juicy Fruit hybrid Happy Euphoric Relaxed uplifted Energetic Citrus Earthy Sweet know Fruity Juice cannabis strain develop Sensi Seeds cross pure afghani indica pure thai sativa Juicy Fruit    large leafed thick stemmed    plant color green purple break color lavender orange amber purple float trichome head    stem flower time approximately 7 9 week THC level measure 15 20 smell describe range tangy sweet sort like fruit punch lemon blend piña    colada plum effect begin    dizzy light head feeling 3 hour    
1118,Juicy-Jack,hybrid,"Uplifted,Happy,Euphoric,Creative,Talkative","Earthy,Sweet,Citrus","Juicy Jack combines the tropical flavors of Juicy Fruit with the therapeutic attributes of Jack Herer. This hybrid is balanced between its indica and sativa heritage but its effects lean towards the creative, uplifting buzz associated with sativas. Juicy Jack creates a flavorful mouthful of sweet berry notes that mingle with a spiced, earthy musk to usher in a euphoric burst of heady effects.",,,"Juicy-Jack hybrid Uplifted,Happy,Euphoric,Creative,Talkative Earthy,Sweet,Citrus Juicy Jack combines the tropical flavors of Juicy Fruit with the therapeutic attributes of Jack Herer. This hybrid is balanced between its indica and sativa heritage but its effects lean towards the creative, uplifting buzz associated with sativas. Juicy Jack creates a flavorful mouthful of sweet berry notes that mingle with a spiced, earthy musk to usher in a euphoric burst of heady effects.  ",Juicy Jack hybrid Uplifted happy euphoric creative Talkative Earthy Sweet Citrus Juicy Jack combine tropical flavor Juicy Fruit therapeutic attribute Jack Herer hybrid balance indica sativa heritage effect lean creative uplifting buzz associate sativa juicy Jack create flavorful mouthful sweet berry note mingle spiced earthy musk usher euphoric burst heady effect  
1119,Juliet,hybrid,"Happy,Uplifted,Energetic,Euphoric,Relaxed","Pine,Sweet,Earthy",Juliet is a sativa-dominant hybrid cross between Cinderella 99 and NYC Diesel that uplifts both mind and body with a sweet berry aroma. A subtle buzz of cerebral energy promotes focus and sharpens the senses in a comfortable psychoactive experience conducive to social activities. Juliet’s happy calm may be useful for patients treating mood and stress disorders like anxiety and depression.,,,"Juliet hybrid Happy,Uplifted,Energetic,Euphoric,Relaxed Pine,Sweet,Earthy Juliet is a sativa-dominant hybrid cross between Cinderella 99 and NYC Diesel that uplifts both mind and body with a sweet berry aroma. A subtle buzz of cerebral energy promotes focus and sharpens the senses in a comfortable psychoactive experience conducive to social activities. Juliet’s happy calm may be useful for patients treating mood and stress disorders like anxiety and depression.  ",Juliet hybrid Happy Uplifted energetic Euphoric Relaxed Pine Sweet Earthy Juliet sativa dominant hybrid cross Cinderella 99 NYC Diesel uplift mind body sweet berry aroma subtle buzz cerebral energy promote focus sharpen sense comfortable psychoactive experience conducive social activity Juliet ’s happy calm useful patient treat mood stress disorder like anxiety depression  
1120,Julius-Caesar,hybrid,"Happy,Euphoric,Uplifted,Relaxed,Focused","Earthy,Pine,Sweet","A Cali Connection product, Julius Caesar is the child of imperial powers SoCal Master Kush and SFV OG Kush, giving it a high quality pedigree. Plants have average growing and yield characteristics, including a flowering time of 8 to 10 weeks. Effects are powerful and take over quickly, much like the conqueror it is named after. A high THC content makes this strain ideal for complete (although sometimes brief) stress and anxiety relief.",,,"Julius-Caesar hybrid Happy,Euphoric,Uplifted,Relaxed,Focused Earthy,Pine,Sweet A Cali Connection product, Julius Caesar is the child of imperial powers SoCal Master Kush and SFV OG Kush, giving it a high quality pedigree. Plants have average growing and yield characteristics, including a flowering time of 8 to 10 weeks. Effects are powerful and take over quickly, much like the conqueror it is named after. A high THC content makes this strain ideal for complete (although sometimes brief) stress and anxiety relief.  ",Julius Caesar hybrid Happy Euphoric Uplifted Relaxed Focused Earthy Pine Sweet Cali Connection product Julius Caesar child imperial power SoCal Master Kush SFV OG Kush give high quality pedigree plant average growing yield characteristic include flower time 8 10 week effect powerful quickly like conqueror name high THC content make strain ideal complete brief stress anxiety relief  
1121,Jungle-Juice,hybrid,"Relaxed,Happy,Creative,Sleepy,Energetic","Flowery,Citrus,Tree,Fruit","Bred by Golden State Genetics, Jungle Juice is a hybrid strain that crosses Animal Cookies and their in-house Tangie male. Balancing sweet and sour citrus flavors, this strain offers a flavorful release from stress, sleeplessness, and pain.",,,"Jungle-Juice hybrid Relaxed,Happy,Creative,Sleepy,Energetic Flowery,Citrus,Tree,Fruit Bred by Golden State Genetics, Jungle Juice is a hybrid strain that crosses Animal Cookies and their in-house Tangie male. Balancing sweet and sour citrus flavors, this strain offers a flavorful release from stress, sleeplessness, and pain.  ",Jungle Juice hybrid Relaxed happy creative sleepy Energetic Flowery Citrus Tree Fruit breed Golden State Genetics Jungle Juice hybrid strain cross Animal Cookies house Tangie male balance sweet sour citrus flavor strain offer flavorful release stress sleeplessness pain  
1122,Jupiter-Og,indica,"Relaxed,Sleepy,Euphoric,Happy,Hungry","Pungent,Diesel,Sweet","Named for the largest planet in our solar system, Jupiter OG has a big impact on its users. Not only does this indica boast one of the highest yields of the planetary strains, it’s also fast-acting and extremely potent. Known among the celestials for its particularly dense nugs with an abundance of reddish hairs, Jupiter OG leaves nothing to be desired. This strain features a pungent fuel smell and overpowering taste. Jupiter OG provides a very heavy and long-lasting body high, making it great for people looking for relief from insomnia or pain.",,,"Jupiter-Og indica Relaxed,Sleepy,Euphoric,Happy,Hungry Pungent,Diesel,Sweet Named for the largest planet in our solar system, Jupiter OG has a big impact on its users. Not only does this indica boast one of the highest yields of the planetary strains, it’s also fast-acting and extremely potent. Known among the celestials for its particularly dense nugs with an abundance of reddish hairs, Jupiter OG leaves nothing to be desired. This strain features a pungent fuel smell and overpowering taste. Jupiter OG provides a very heavy and long-lasting body high, making it great for people looking for relief from insomnia or pain.  ",Jupiter Og indica Relaxed sleepy Euphoric happy Hungry Pungent Diesel Sweet Named large planet solar system Jupiter OG big impact user indica boast high yield planetary strain ’ fast act extremely potent know celestial particularly dense nug abundance reddish hair Jupiter OG leave desire strain feature pungent fuel smell overpower taste Jupiter OG provide heavy long last body high make great people look relief insomnia pain  
1123,K-Train,indica,"Euphoric,Happy,Uplifted,Relaxed,Creative","Citrus,Tree,Fruit,Lemon","K-Train is a mostly indica strain that was developed by Greenhouse Seeds as a cross between OG Kush and Trainwreck. These parents are both popular in their own right and were chosen to try and combine their prized effects: the muscle-relaxant qualities of OG Kush with the lucid mental buzz that Trainwreck induces. Once you get on the K-Train, be prepared to sit back and relax with something creative for a while. Thanks to its potency, it’s a popular medical choice to treat depression, stress disorders, and pain for patients who want to relax without total sedation. Still a strong indica, the K-Train hits you hard and fast and may prove to be an intense ride for some. These plants are easy to grow and should flower in 9 weeks with the oversized buds that are characteristic of its Trainwreck lineage. K-Train’s Kush genetics dominate the aroma, making it sweet and earthy with a hint of black licorice.",K-Train,"Stress, Depression, Insomnia, Pain","K-Train indica Euphoric,Happy,Uplifted,Relaxed,Creative Citrus,Tree,Fruit,Lemon K-Train is a mostly indica strain that was developed by Greenhouse Seeds as a cross between OG Kush and Trainwreck. These parents are both popular in their own right and were chosen to try and combine their prized effects: the muscle-relaxant qualities of OG Kush with the lucid mental buzz that Trainwreck induces. Once you get on the K-Train, be prepared to sit back and relax with something creative for a while. Thanks to its potency, it’s a popular medical choice to treat depression, stress disorders, and pain for patients who want to relax without total sedation. Still a strong indica, the K-Train hits you hard and fast and may prove to be an intense ride for some. These plants are easy to grow and should flower in 9 weeks with the oversized buds that are characteristic of its Trainwreck lineage. K-Train’s Kush genetics dominate the aroma, making it sweet and earthy with a hint of black licorice. K-Train Stress, Depression, Insomnia, Pain",K Train indica Euphoric happy Uplifted relaxed Creative Citrus Tree Fruit Lemon K Train indica strain develop Greenhouse Seeds cross OG Kush    Trainwreck parent popular right choose try combine prize effect muscle relaxant quality OG Kush lucid mental buzz trainwreck induce K Train prepared sit relax creative thank potency ’ popular medical choice treat depression stress disorder pain patient want relax total sedation strong indica K Train hit hard fast prove intense ride plant easy grow flower 9 week oversized bud characteristic Trainwreck lineage K Train ’s Kush genetic dominate aroma make sweet earthy hint black licorice K Train stress Depression Insomnia Pain
1124,K1,hybrid,"Happy,Focused,Energetic,Euphoric,Relaxed","Pine,Chemical,Ammonia",K1 is a sativa-dominant hybrid cross between Durban Poison and LA Kush. This variety took third place in the hash category of the 2014 Denver Cannabis Cup.,,,"K1 hybrid Happy,Focused,Energetic,Euphoric,Relaxed Pine,Chemical,Ammonia K1 is a sativa-dominant hybrid cross between Durban Poison and LA Kush. This variety took third place in the hash category of the 2014 Denver Cannabis Cup.  ",K1 hybrid Happy Focused energetic Euphoric Relaxed Pine Chemical Ammonia K1 sativa dominant hybrid cross Durban Poison LA Kush variety take place hash category 2014 Denver Cannabis Cup  
1125,K2,hybrid,"Relaxed,Happy,Giggly,Hungry,Sleepy","Earthy,Citrus,Sweet","Named for Earth's second highest mountain peak, K2 is sure to leave you at a higher elevation. The mellow flavor is accented with hints of fruit and spice, and the captivating aroma helped to make it a staple at coffee shops in Amsterdam. A cross between White Widow and Hindu Kush, this dependable Dutch hybrid first attracted growers for its compact stature, while the relaxing indica effects have kept consumers who battle anxiety and insomnia asking for more.",,,"K2 hybrid Relaxed,Happy,Giggly,Hungry,Sleepy Earthy,Citrus,Sweet Named for Earth's second highest mountain peak, K2 is sure to leave you at a higher elevation. The mellow flavor is accented with hints of fruit and spice, and the captivating aroma helped to make it a staple at coffee shops in Amsterdam. A cross between White Widow and Hindu Kush, this dependable Dutch hybrid first attracted growers for its compact stature, while the relaxing indica effects have kept consumers who battle anxiety and insomnia asking for more.  ",K2 hybrid Relaxed happy giggly hungry Sleepy Earthy Citrus Sweet Named Earth second high mountain peak K2 sure leave high elevation mellow flavor accent hint fruit spice captivating aroma help staple coffee shop Amsterdam cross White Widow Hindu Kush dependable dutch hybrid attract grower compact stature relax indica effect keep consumer battle anxiety insomnia ask  
1126,Kc-33,hybrid,"Relaxed,Tingly,Euphoric,Happy,Hungry","Citrus,Lemon,Sweet","KC 33, bred by KC Brains in Holland, is a 60/40 indica-dominant hybrid cross between Afghani, Haze, and a Ukrainian landrace strain. The '33' marks the breeder's age when this strain was conceived in 1993. With a zesty lemon aroma, KC 33 delivers weightless cerebral effects that never sink down to the body. This strain was mainly bred for the outdoor cultivator, as these plants thrive in wet, cooler climates. ",,,"Kc-33 hybrid Relaxed,Tingly,Euphoric,Happy,Hungry Citrus,Lemon,Sweet KC 33, bred by KC Brains in Holland, is a 60/40 indica-dominant hybrid cross between Afghani, Haze, and a Ukrainian landrace strain. The '33' marks the breeder's age when this strain was conceived in 1993. With a zesty lemon aroma, KC 33 delivers weightless cerebral effects that never sink down to the body. This strain was mainly bred for the outdoor cultivator, as these plants thrive in wet, cooler climates.   ",kc-33 hybrid Relaxed Tingly euphoric happy Hungry Citrus Lemon Sweet KC 33 breed KC Brains Holland 60/40 indica dominant hybrid cross Afghani Haze ukrainian landrace strain 33 mark breeder age    strain conceive 1993 zesty lemon aroma KC 33 deliver    weightless cerebral effect sink body strain    mainly breed outdoor cultivator plant thrive wet cool climate    
1127,Kc-36,indica,"Sleepy,Relaxed,Uplifted,Euphoric,Hungry","Sweet,Blueberry,Grape","Cultivated by KC Brains, KC 36 is an indica strain bred specifically to flourish at high latitudes. A cross between White Widow and KC 606, these frosty and compact buds deliver full-on body relaxation alongside a sweet and spicy floral aroma. The peaceful, introspective qualities of KC 36 make this indica a perfect pair for meditation and enjoying nature.",,,"Kc-36 indica Sleepy,Relaxed,Uplifted,Euphoric,Hungry Sweet,Blueberry,Grape Cultivated by KC Brains, KC 36 is an indica strain bred specifically to flourish at high latitudes. A cross between White Widow and KC 606, these frosty and compact buds deliver full-on body relaxation alongside a sweet and spicy floral aroma. The peaceful, introspective qualities of KC 36 make this indica a perfect pair for meditation and enjoying nature.  ",Kc-36 indica Sleepy Relaxed Uplifted euphoric Hungry Sweet Blueberry Grape cultivate KC Brains KC    36 indica strain breed specifically flourish high latitude cross White Widow KC 606 frosty compact bud deliver    body    relaxation alongside sweet spicy floral aroma peaceful introspective quality KC 36 indica perfect pair meditation enjoy nature  
1128,Kt-Dawg,hybrid,"Uplifted,Happy,Relaxed,Giggly,Euphoric","Sweet,Flowery,Earthy","KT Dawg offers a complex mixture of effects that soothes and uplifts. This hybrid blends anti-inflammatory pain relief and pleasurable physical effects with a focused, cerebral buzz. KT Dawg’s aroma is pungent, reeking of skunk and forest floor. The earthy terpenes mellow on the palate while stimulating appetite and creativity. KT Dawg is a cross of Kunduz,  Tang Tang, and Stardawg.    ",,,"Kt-Dawg hybrid Uplifted,Happy,Relaxed,Giggly,Euphoric Sweet,Flowery,Earthy KT Dawg offers a complex mixture of effects that soothes and uplifts. This hybrid blends anti-inflammatory pain relief and pleasurable physical effects with a focused, cerebral buzz. KT Dawg’s aroma is pungent, reeking of skunk and forest floor. The earthy terpenes mellow on the palate while stimulating appetite and creativity. KT Dawg is a cross of Kunduz,  Tang Tang, and Stardawg.      ",Kt Dawg hybrid Uplifted happy Relaxed giggly Euphoric Sweet Flowery earthy KT Dawg offer complex mixture effect soothe uplift hybrid blend anti inflammatory pain relief pleasurable physical effect focused cerebral buzz KT Dawg ’s aroma pungent reek skunk forest floor earthy terpene mellow palate stimulate appetite creativity KT Dawg cross Kunduz    Tang Tang Stardawg      
1129,Kaboom,sativa,"Energetic,Happy,Uplifted,Creative,Euphoric","Lemon,Pine,Earthy",Kaboom is a cross that combines Jack's Cleaner genetics with those of Vortex. This sativa-dominant strain gives you an energetic head buzz that provides a spark of creativity and lifts the mood. Medical patients enjoy Kaboom's ability to relieve pain while maintaining daily functions.,Kaboom,"Depression, Stress, Pain, Nausea","Kaboom sativa Energetic,Happy,Uplifted,Creative,Euphoric Lemon,Pine,Earthy Kaboom is a cross that combines Jack's Cleaner genetics with those of Vortex. This sativa-dominant strain gives you an energetic head buzz that provides a spark of creativity and lifts the mood. Medical patients enjoy Kaboom's ability to relieve pain while maintaining daily functions. Kaboom Depression, Stress, Pain, Nausea",Kaboom sativa energetic happy Uplifted creative Euphoric Lemon Pine Earthy Kaboom    cross    combine    Jack Cleaner    genetic    Vortex    sativa dominant strain give energetic    head buzz provide spark creativity    lift mood medical patient enjoy Kaboom ability    relieve pain maintain daily function Kaboom Depression stress Pain nausea
1130,Kahuna,indica,"Uplifted,Euphoric,Relaxed,Creative,Focused","Sweet,Orange,Tropical","Kahuna is a 4-way cross between Super Skunk, Big Skunk Korean, Jack Herer, and Afghan Hawaiian that brings together a wide set of influences for a complex high. The Kahuna variety has both tropical influences in its parentage and spiritually attuning effects when used.",Kahuna,"Stress, Pain, Depression, Insomnia","Kahuna indica Uplifted,Euphoric,Relaxed,Creative,Focused Sweet,Orange,Tropical Kahuna is a 4-way cross between Super Skunk, Big Skunk Korean, Jack Herer, and Afghan Hawaiian that brings together a wide set of influences for a complex high. The Kahuna variety has both tropical influences in its parentage and spiritually attuning effects when used. Kahuna Stress, Pain, Depression, Insomnia",Kahuna indica Uplifted Euphoric relaxed Creative Focused Sweet Orange Tropical Kahuna 4-way cross Super Skunk big Skunk Korean Jack Herer Afghan Hawaiian    bring wide set influence complex high Kahuna variety tropical influence parentage    spiritually attune effect Kahuna stress Pain Depression Insomnia
